Date,NASDAQ
2024-04-15,15885.0
2024-04-16,15865.2
2024-04-17,15683.4
2024-04-18,15601.5
2024-04-19,15282.0
2024-04-22,15451.3
2024-04-23,15696.6
2024-04-24,15712.8
2024-04-25,15611.8
2024-04-26,15927.9
2024-04-29,15983.1
2024-04-30,15657.8
2024-05-01,15605.5
2024-05-02,15841.0
2024-05-03,16156.3
2024-05-06,16349.2
2024-05-07,16332.6
2024-05-08,16302.8
2024-05-09,16346.3
2024-05-10,16340.9
2024-05-13,16388.2
2024-05-14,16511.2
2024-05-15,16742.4
2024-05-16,16698.3
2024-05-17,16686.0
2024-05-20,16794.9
2024-05-21,16832.6
2024-05-22,16801.5
2024-05-23,16736.0
2024-05-24,16920.8
2024-05-28,17019.9
2024-05-29,16920.6
2024-05-30,16737.1
2024-05-31,16735.0
2024-06-03,16828.7
2024-06-04,16857.1
2024-06-05,17187.9
2024-06-06,17173.1
2024-06-07,17133.1
2024-06-10,17192.5
2024-06-11,17343.6
2024-06-12,17608.4
2024-06-13,17667.6
2024-06-14,17688.9
2024-06-17,17857.0
2024-06-18,17862.2
2024-06-20,17721.6
2024-06-21,17689.4
2024-06-24,17496.8
2024-06-25,17717.7
2024-06-26,17805.2
2024-06-27,17858.7
2024-06-28,17732.6
2024-07-01,17879.3
2024-07-02,18028.8
2024-07-03,18188.3
2024-07-05,18352.8
2024-07-08,18403.7
2024-07-09,18429.3
2024-07-10,18647.4
2024-07-11,18283.4
2024-07-12,18398.4
2024-07-15,18472.6
2024-07-16,18509.3
2024-07-17,17996.9
2024-07-18,17871.2
2024-07-19,17726.9
2024-07-22,18007.6
2024-07-23,17997.3
2024-07-24,17342.4
2024-07-25,17181.7
2024-07-26,17357.9
2024-07-29,17370.2
2024-07-30,17147.4
